cl_opinion_id,x,y
110557,847.41,149.7
110551,847.91,149.6
799973,621.07,497.46
100010,573.13,8.0
90311,569.81,9.34
2784697,570.22,8.31
97023,886.76,782.56
145848,897.52,781.24
111549,289.48,487.25
111542,619.76,496.08
111541,608.36,937.52
111546,616.34,497.68
111544,985.11,450.69
107898,847.76,146.61
104272,892.4,778.84
2620886,567.46,6.75
97150,993.35,447.84
107701,848.52,147.25
112239,5.13,270.88
811779,298.08,953.39
108100,290.9,485.72
109855,291.39,486.75
109857,300.4,952.78
109859,888.25,783.55
109858,614.61,937.11
103701,288.19,486.22
111955,894.28,768.4
111957,622.55,497.61
111950,846.91,147.46
111959,8.25,276.02
111958,986.68,450.88
145770,621.76,496.42
145772,881.48,783.4
145773,626.74,498.74
145774,282.24,486.22
145776,847.65,149.42
145778,896.22,792.3
104710,615.52,497.86
109271,847.24,147.07
109270,845.02,145.74
109272,888.83,774.22
145818,997.46,448.34
217702,257.5,57.7
1087669,899.18,784.62
1087668,289.28,487.54
1087667,899.06,783.96
1087666,611.1,497.48
1087665,0.0,1060
1087664,883.03,777.6
108845,7.36,274.11
142896,848.75,149.79
118307,623.84,497.67
118303,846.4,147.31
118309,623.27,495.75
118308,888.21,786.98
145683,271.71,62.02
217512,567.61,8.63
145889,298.56,952.99
110518,291.05,484.25
110510,282.66,489.0
110516,988.77,449.8
110517,989.75,450.23
2784695,891.68,787.97
145792,889.42,785.2
106660,849.94,147.1
118214,290.46,486.6
112009,987.78,450.28
108316,285.17,484.3
218455,883.04,785.38
145695,627.58,503.5
103933,288.9,487.28
821432,888.87,780.22
821431,897.52,774.67
1728,885.34,781.62
1729,878.64,787.78
1726,886.12,780.65
1727,893.34,782.17
1724,897.03,775.52
1725,283.71,479.99
1722,893.85,783.07
1723,619.5,495.06
111009,887.53,777.92
111008,892.84,779.89
111003,851.65,147.25
111002,291.25,488.47
111000,625.33,497.12
111006,266.5,62.55
111004,3.63,279.98
110758,993.23,452.43
