citing_id,cited_id
1269289,105104
1269289,105296
1269289,107735
1269289,101864
1269289,117881
1269289,98755
1269289,118188
1269289,105493
1269289,112731
1269289,111891
1269289,118136
1269289,108556
1269289,104978
1269289,111476
1269289,111104
1269289,101764
1269289,105103
1269289,100576
1269289,105719
1269289,112382
1269289,104813
1269289,110742
1269289,109463
1269289,105078
1269289,91704
1269289,94479
1269289,1087737
1269289,110985
1269289,92500
1269289,118378
1269289,106432
1269289,105074
1269289,112466
1269289,110996
1269289,107249
1269289,112585
1269289,112833
1269289,118151
1269289,118011
1269289,118284
1269289,104751
1269289,108606
1269289,111914
1269289,127916
1269289,137740
1269289,137001
1269289,137741
1269289,137750
1269289,145903
1269289,149008
110212,106107
110212,99658
110212,104845
145673,101696
145673,111139
145673,105131
145673,98917
145673,104551
145673,104567
145673,103916
145673,104685
145673,97584
145673,106483
145673,109593
145673,107895
145673,103577
145673,104473
145673,110330
145673,118149
112895,112225
112895,110275
112895,111749
112895,109769
112895,108759
112895,112845
112895,112465
112895,110291
112895,109822
112895,111929
112895,112281
112895,2621053
112895,112798
117862,94082
117862,112900
117862,104200
117862,91564
117862,99470
117862,91054
117862,101031
117862,110380
117862,112557
117862,86749
117862,112436
117862,110138
117862,104386
117862,112324
117862,99782
117862,104521
117862,102604
117862,108111
117862,102358
117862,91472
117862,87010
117862,111865
117862,108538
118348,104200
118348,109066
118348,108555
118348,108566
118348,105495
118348,110873
118348,109745
118348,112565
118348,101818
118348,102720
118348,103631
118348,110942
118348,104944
112788,112705
112788,112485
112788,111473
112788,112746
112788,112524
112788,112400
112788,111250
112788,112499
112788,112084
112788,110259
112788,108605
112788,112085
111691,104001
111691,111362
111691,98459
111691,103492
111691,96487
111691,110923
111691,108526
111691,107933
111691,110997
111691,110233
111691,99996
111691,97535
93893,88707
93893,92369
93893,90419
93893,92286
93893,89175
93893,91640
93893,89625
93893,87166
93893,85439
110274,86188
110274,1116658
110274,107024
110274,103012
110274,104693
105525,96129
105525,96130
105525,103172
105525,86894
105525,92810
105525,95500
105525,103694
105525,104813
105525,95504
105525,94866
105525,95894
105525,99481
105525,85530
105525,92867
105525,104479
105525,104774
105525,99495
105525,85160
105525,105514
105525,97707
105525,105004
105525,91054
105525,89821
105525,103442
105525,100916
105525,91573
105525,104246
105525,100792
105525,101684
105525,101435
105525,105148
105525,100042
105525,102079
105525,86214
105525,99906
105525,85827
105525,105412
105525,90006
105525,86727
105525,92467
105525,1528394
105525,1236300
105525,102605
105525,92111
105525,92280
105525,1379538
105525,92500
105525,96270
105525,87129
105525,85595
105525,93107
105525,92510
105525,105020
105525,91234
105525,99561
105525,94629
105525,104884
105525,105326
105525,88351
105525,99954
105525,104438
105525,91256
105525,92666
118040,109696
118040,110338
118040,110980
118040,105221
118040,118022
118040,110599
118040,112905
118040,106850
118040,106127
118040,110098
118040,111507
118040,107182
118040,101911
118040,108825
118040,103962
118040,108828
118040,108826
118040,109573
118040,108369
118040,105121
118040,110246
118040,101032
118040,109127
118040,94508
118040,111662
118040,112176
118040,112818
118040,111924
118040,111669
118040,112824
118040,112570
118040,117947
118040,108990
118040,111413
118040,106366
118040,110790
118040,108364
118040,117965
118040,117968
118040,107896
118040,107220
118040,107897
118040,109912
118040,112484
118040,112610
118040,112358
118040,112252
118040,109418
118040,109574
118040,95471
118040,110248
118040,117874
118040,117876
118040,112629
118040,110966
118040,111736
118040,111737
118040,118011
118040,112764
118040,109930
110332,102404
110332,103173
110332,101894
110332,93465
110332,101915
96322,89311
96322,89569
96322,94578
96322,89725
96322,93439
96325,94208
96325,96269
96325,96222
96325,94207
96299,93124
96299,95973
96299,86957
96299,86480
96299,93950
96299,89946
96299,94459
96299,88698
96299,91358
96305,92422
96306,96272
96308,94012
96308,93161
96308,91789
96308,86829
96308,94128
96308,91569
96308,95996
96308,95821
96290,95256
96290,93354
96290,85563
96290,93431
96291,92067
96291,94118
96291,91796
96291,93836
96291,90350
96291,93714
96291,85460
96291,92654
96291,94326
96291,96025
96291,2359388
96293,95777
96293,95094
96267,94656
96267,88456
96267,85349
96267,95494
97571,96945
97571,97492
96249,94429
96256,88818
96256,93469
96256,95511
96258,91888
96258,88962
96258,95730
96265,94563
110332,102150
110332,103736
110332,97084
110332,103616
110332,104391
110332,98888
110332,104777
110332,106701
110332,104401
110332,110034
110332,2764117
110332,103900
110332,109023
110332,96994
110332,100837
110332,105319
110332,106986
110332,98164
110328,109972
110328,104215
110328,110233
110328,105371
110328,105628
110328,109857
110328,107042
110328,85797
110328,91705
110328,108229
110328,88904
110328,109385
110328,95691
110328,109134
110328,105807
110328,103120
110328,108754
110328,108755
110328,110295
110328,94819
110328,103014
110328,91496
110328,106352
110328,109818
110328,109436
127930,111020
127930,118399
118383,93563
118383,118062
107902,107393
107902,101089
107902,104531
107902,104867
107902,103238
107902,105350
107902,101937
107902,102250
107902,101644
107902,105309
107902,105107
107902,102488
107902,102489
107902,103292
107902,105034
108547,106757
108547,89107
108547,107160
108547,92701
108547,87080
108547,98333
108547,87219
108547,106179
108547,86220
108547,97893
108547,103916
108547,97017
105002,101159
105002,104520
105002,98857
105002,104971
105002,101741
105002,101967
105002,100403
105002,104373
105002,103831
105002,98200
105002,104730
105002,103355
111205,106601
111205,103438
111205,110993
111205,110773
111205,104425
111205,103740
111984,111634
111984,108820
111984,111772
111984,106270
111984,110017
111984,102988
111984,104414
111984,111858
136993,118410
136993,117922
136993,108888
136993,145120
136993,104034
136993,118380
136993,111221
136993,104439
100694,99873
100694,99687
100694,100233
100694,100234
100694,98542
100694,99887
100694,96883
100694,96590
100694,96521
100694,99037
100694,100287
106629,105221
106629,103213
106629,103962
106629,103324
106629,104225
106629,103842
106629,105903
106629,103881
106629,103481
106629,106170
106629,104137
106629,102095
106629,100061
106629,102379
106629,106367
131156,118021
131156,103050
131156,92067
131156,91122
131156,109904
131156,112725
131156,2620886
131156,112848
131156,108149
131156,105979
110963,110320
110963,109254
110963,107016
110963,109705
110963,108909
110963,106384
110963,104439
110963,109050
110963,110655
110963,110367
111433,106880
111433,110085
111433,108808
111433,111372
111433,110991
111433,110231
111433,108829
111433,108194
111433,109093
111433,109097
111433,106544
111433,110525
111433,108606
111433,108100
111433,109382
111433,110667
111433,110425
111433,110941
111433,110829
111433,108785
111433,105205
111433,110590
109472,105924
109472,105425
109472,108649
109472,105387
109472,96594
109472,108113
109472,101842
109472,104979
109472,98420
109472,108886
109472,101467
111685,106496
111685,85762
111685,110340
111685,108421
111685,105607
111685,107784
111685,85517
111685,107534
111685,110991
111685,111383
111685,110104
111685,110878
111685,111109
111685,108197
111685,103464
111685,111111
111685,94509
111685,104239
111685,105404
111685,108478
111685,110527
111685,111264
111685,111299
111685,105285
111685,103367
111685,104266
111685,109519
111685,111441
111685,105172
111685,104462
111685,103382
111685,103770
111685,110415
111685,99426
111685,85349
111685,108647
111685,108904
111685,103017
111685,103786
111685,109565
111685,111221
111685,110953
111685,103932
111685,110077
111685,110718
112635,109314
112635,112134
112635,109505
112635,106249
112635,111245
112635,101741
112635,112404
112635,107167
112635,109092
112635,108839
112635,110507
112635,112304
112635,111924
112635,107701
112635,112315
112635,112319
112635,107841
112635,103243
112635,109380
112635,112453
112635,110918
112635,108360
112635,105547
112635,103373
112635,104532
112635,112027
112635,104570
112635,112037
112635,112356
112635,111597
112635,112240
112635,110536
112635,111738
112635,107898
112635,111487
109200,105857
109200,108420
109200,96129
109200,93323
109200,105996
109200,105997
109200,105362
109200,108195
109200,99464
109200,94515
109200,102879
109200,85440
109200,105287
109200,108233
109200,107978
109200,102987
109200,107980
109200,103246
109200,108114
109200,106847
109200,108643
109200,88804
109200,108274
109200,92534
109200,106359
109200,105594
109200,105597
108556,105356
108556,107165
108556,107184
108556,108491
108556,106451
108556,107750
111672,103438
111672,110993
111672,105495
111672,106401
111672,96936
111672,110773
111672,98232
111672,109628
111672,102619
111672,106601
111672,111597
111672,111215
111672,90099
111672,101492
111672,104425
111672,101625
111672,109052
102991,96704
102991,101760
102991,102498
102991,100708
102991,102728
102991,102601
102991,89858
102991,100754
102991,101741
102991,96657
102991,92674
102991,97779
102991,95255
102991,101773
102991,98682
102991,89759
102991,99581
102991,102879
111509,109312
111509,109186
111509,110979
111509,107912
111509,104716
111509,94479
111509,110096
111509,111378
111509,106515
111509,111380
111509,108845
111509,111382
111509,106936
96265,94710
96265,85494
96245,90566
96186,95683
96186,95901
96186,95918
96207,91400
96207,91401
96209,94117
96209,88777
96209,93611
96209,93137
96209,89656
96209,94585
1632029,95399
1632029,90189
1632029,92430
1632029,96157
1632029,95574
1632029,2481209
1632029,89661
1632029,90590
96218,88741
96218,90054
96218,89351
96218,89645
96218,93199
96218,89274
96218,86620
96225,95937
96225,96041
96225,94794
96225,96146
96225,94863
96225,92722
96225,94653
96226,90272
96226,95777
96226,87010
96226,88612
96226,95126
96226,92234
96226,89651
96226,96017
96226,88498
96226,95955
96226,95222
96226,94617
96226,87641
96226,92699
96347,95936
96347,96043
96347,93644
96347,91382
96347,94617
96347,92795
96348,92795
96348,94174
96348,88463
96352,91361
96352,94115
96352,91500
96352,90156
96352,87278
96352,87119
96352,89846
96352,95833
96352,86970
96353,89692
96353,86077
96353,94966
96355,93288
96355,96194
96355,94764
96355,88589
96335,96299
96335,96261
96335,91398
96335,90506
96335,92205
96335,88336
96335,90051
96335,91413
96335,95777
96335,91559
96335,95787
96335,94124
96335,86957
96335,96302
96335,90424
96335,88889
96335,88003
96335,93124
96335,95047
96335,95818
111509,104504
111509,108571
111509,100711
111509,110235
111509,108581
111509,108841
111509,110890
111509,107564
111509,109874
111509,108850
111509,110926
111509,91573
111509,110264
111509,104769
111509,111301
111509,111057
111509,105545
111509,106021
111509,107483
111509,107729
111509,107474
111509,100567
111509,108377
111509,109866
111509,110045
111509,110175
111509,109537
111509,105963
111509,109541
111509,107473
111509,109675
111509,103791
111509,111397
111509,110377
111509,109304
111509,104313
111509,110973
111509,107262
111509,109311
145751,111874
145751,92989
145751,145677
145751,112278
145751,108968
145751,85432
145751,102976
145751,2620886
145751,134744
145751,118126
145751,111983
145751,92414
111757,109964
111757,96399
111757,109456
111757,110360
111757,110753
111757,108578
111757,110885
111757,108330
111757,107250
111757,103096
111757,106170
111757,110581
111757,108961
111757,103264
111757,109670
111757,110706
111757,111093
111757,110332
111918,103201
111918,109419
111918,106949
111918,100417
111918,109769
111918,109067
111918,101837
111918,109461
111918,109466
111918,109246
111918,99615
97158,85378
97158,96709
97158,96492
97158,92142
97158,96934
97158,94456
97158,94807
97158,92312
97158,86169
97158,95962
97158,96442
97158,96191
112724,108807
112724,111468
112724,109966
112724,95376
112724,112665
112724,112536
112724,110233
112724,112154
112724,109467
112724,104094
112724,111010
112724,111911
112724,112045
112724,102703
112724,110923
112724,104399
112724,110932
112724,110159
112724,104927
112724,100968
112724,111209
112724,100844
112724,112379
112225,112196
112225,112151
112225,110874
112225,110929
112225,110275
112225,111929
109110,104418
109110,109028
109110,109029
109110,106503
109110,106249
109110,106251
109110,106413
109110,103214
109110,108440
109110,99986
109110,106995
109110,100693
109110,103831
109110,106660
109110,103834
109052,105994
109052,90125
109052,105870
109052,104110
109052,104903
109052,104396
109052,105057
109052,108284
108589,104467
108589,107520
108589,102407
108589,103690
108589,95255
108589,104334
108589,106259
108589,96404
108589,105751
108589,108186
108589,100122
108589,104478
108589,107685
108589,106022
108589,101031
108589,105128
108589,106793
108589,103597
108589,91054
108589,107567
108589,96456
108589,94451
108589,90039
108589,90040
108589,90041
108589,106812
108589,103050
108589,102462
108589,90336
108589,108100
108589,108232
108589,107083
108589,108111
108589,108496
108589,104785
108589,106963
108589,105303
108589,105693
108589,103006
108589,107872
108589,103162
108589,107754
108589,104296
108589,97651
108589,95992
108589,108026
108589,108027
108589,90749
105244,103522
105244,93915
105244,101413
105244,104262
105244,104610
105244,104970
105244,100716
105244,99789
105244,94354
105244,93491
105244,97337
105244,105145
105244,104891
105244,104338
109085,105925
109085,108838
109085,108839
109085,105547
109085,101741
109085,107664
109085,107187
117938,106627
117938,112283
117938,111144
117938,96748
117938,109938
117938,110895
117938,109968
117938,110994
117938,105123
117938,89476
117938,111354
117938,106767
117938,110335
111969,111824
111969,104200
111969,110701
111969,104109
111969,104209
111969,111043
111969,110715
111969,100702
111969,111775
104816,104194
104816,93318
104816,87219
104816,103321
104816,103577
104816,103578
104816,104348
104816,104349
104816,99974
104816,103721
104816,104367
104816,104115
104816,104473
104816,86836
104816,101696
104816,96199
104816,104522
104816,104523
104816,104802
104816,101715
104816,98917
104816,104551
104816,102889
104816,103916
104816,85614
104816,104055
104816,102650
104816,103678
112254,106383
112254,108432
112254,104598
112254,112157
112254,107423
112254,109769
112254,108987
112254,108484
112254,109513
112254,104272
112254,111188
112254,108375
112254,112218
112254,107748
112254,105573
112254,109561
107185,103369
108479,95118
108479,108291
108479,96537
108479,96668
108479,107938
108479,103494
108479,96680
108479,104109
108479,105646
108479,95159
108479,2620987
108479,90827
108479,100304
108479,107732
108479,107749
108479,97388
108479,103668
108479,100052
117860,110080
117860,109059
117860,104461
117860,110094
117860,112771
117860,109717
117860,111515
117860,110379
117860,108590
117860,112819
117860,107892
117860,103226
117860,110143
117860,111552
117860,108761
117860,112847
117860,106329
117860,110138
117860,103134
117860,107874
117860,109540
117860,110693
117860,111724
117860,105074
117860,107252
117860,109867
117860,110714
117860,109439
111503,94976
111503,111362
111503,111111
111503,104971
111503,111244
111503,92688
111503,99221
111503,90652
111503,92702
111503,92703
111503,111008
111503,106992
111503,103973
111503,105766
111503,110248
111503,99496
111503,111147
111503,104881
111503,96819
111503,109499
111503,108990
111503,85568
111503,111042
111503,111299
111503,106821
111503,85451
111503,111308
111503,110031
111503,109520
111503,109259
111503,95314
111503,110420
111503,108897
111503,108375
111503,110169
111503,108763
111503,85797
111503,109776
111503,109540
111503,111463
111503,110440
111503,104956
111503,94055
111503,97004
111503,85330
111503,102126
111503,99824
111503,85160
111503,109940
111503,111094
111503,93289
111503,104057
111503,97402
111503,90876
111503,95997
111503,102271
109439,108800
109439,105220
109439,103050
109439,109196
109439,106512
109439,91054
109439,109349
109439,106793
109439,108590
109439,108589
109439,107567
109439,106548
109439,90039
109439,90040
109439,90041
109439,107874
109439,109390
109439,108496
109439,106962
109439,108761
109439,108762
109439,105693
109439,90336
109439,108898
109439,108263
109439,108138
109439,108139
109439,104557
109439,94451
109439,105333
110944,104080
110944,108961
110944,104385
110944,107489
110944,109404
110944,106336
110944,109665
110944,104546
110944,99939
110944,90597
110944,106086
111420,110774
111826,111488
111826,106660
111826,108135
111826,110440
111826,103976
111826,111688
111826,108530
111826,110647
111826,104520
111826,101924
111826,103355
127917,90592
127917,93071
127917,104421
127917,106447
127917,102823
127917,110315
127917,94286
127917,102830
127917,111759
127917,111634
127917,94206
127917,112280
127917,109561
127917,110365
127917,118430
111153,109344
111153,103555
111153,110022
111153,110215
111153,109835
111153,88429
111153,109488
111153,104119
111153,103096
111153,104537
111153,95964
111153,86429
111153,85534
106963,106017
106963,101031
106963,104521
106963,106634
106963,101453
106963,106259
106963,105303
106963,98441
108814,107046
108814,105142
108814,106655
117921,97920
117921,112203
117921,99461
117921,106739
117921,106761
117921,117847
117921,109836
117921,112781
117921,106000
117921,105746
117921,106011
117921,109088
117921,112304
117921,106658
117921,111113
117921,111781
117921,104623
117921,86064
117921,108275
117921,110985
117921,110904
117921,112315
117921,108993
117921,103490
117921,112779
117921,109380
117921,112453
117921,110918
117921,104588
117921,105547
117921,102991
117921,107969
117921,104532
117921,112087
117921,104668
117921,110813
117921,112736
117921,105232
117921,107235
117921,96357
117921,112743
117921,101097
117921,117869
117921,105465
117921,107900
117844,112865
117844,112915
117844,111221
107202,107137
107202,104790
107202,93322
107202,105496
107202,103962
107202,94235
107202,105121
107202,91179
107202,89309
107202,105012
107202,104888
107202,104889
107202,104890
107202,98492
107202,104135
107202,106872
107202,98518
107202,106170
107202,106208
107202,104918
107202,103531
107202,106607
107202,106609
107202,103801
107202,106875
107202,103226
111927,108845
111927,105880
111927,106021
111927,109866
111927,107564
111927,108077
111927,109874
111927,110530
111927,111301
111927,111057
111927,107474
111927,111835
111927,107473
111927,111851
111927,108533
111927,110973
101864,100352
101864,88065
101864,96776
101864,86537
101864,100366
101864,100370
101864,92181
101864,101401
101864,95260
101864,98334
101864,100385
101864,99362
101864,101425
101864,98854
101864,97831
101864,96296
101864,100394
101864,100910
101864,100911
101864,89649
101864,99893
101864,101435
101864,101440
101864,97345
101864,98888
101864,98890
101864,99403
101864,100950
101864,100440
101864,85595
101864,99933
101864,88159
101864,95840
101864,100451
101864,96868
101864,99429
101864,100967
101864,100969
101864,100970
101864,101493
101864,97200
101864,96902
101864,101511
101864,101001
101864,98958
101864,99502
101864,96689
101864,86979
101864,89238
101864,100504
101864,92868
101864,101021
101864,97957
101864,101543
101864,100009
101864,100010
101864,98759
101864,97965
101864,101550
101864,89266
101864,100532
101864,100022
101864,86711
101864,101566
101864,92867
101864,101066
101864,92372
101864,94073
101864,100061
101864,88291
101864,99878
101864,99050
101864,101104
101864,90868
101864,101161
101864,99064
101864,100099
101864,89350
101864,99593
101864,99596
101864,92431
101864,95507
101864,94488
101864,100635
101864,99614
101864,98591
101864,101155
101864,96551
101864,93481
101864,88876
101864,2516269
101864,95028
101864,99977
101864,101182
101864,96063
101864,95043
101864,96068
101864,99142
101864,100168
101864,101705
101864,95563
101864,94172
101864,92496
101864,96084
101864,99470
101864,97625
101864,90972
101864,100189
101864,100837
101864,99175
101864,97130
101864,93552
101864,101749
