cl_opinion_id,case_name,year,issue_area,times_cited,cites_made,community,in_giant,x,y,courtlistener_url
110557,,1981,Economic Activity,8,11,0,1,501.99,629.3,https://www.courtlistener.com/opinion/110557/x/
110551,,1981,First Amendment,15,5,0,1,700.55,633.4,https://www.courtlistener.com/opinion/110551/x/
799973,,2005,Criminal Procedure,0,12,1,1,721.77,229.34,https://www.courtlistener.com/opinion/799973/x/
100010,,1922,Civil Rights,54,1,2,1,583.12,380.7,https://www.courtlistener.com/opinion/100010/x/
90311,,1881,Criminal Procedure,54,1,2,1,598.93,588.39,https://www.courtlistener.com/opinion/90311/x/
2784697,,2015,Economic Activity,0,26,2,1,452.05,470.64,https://www.courtlistener.com/opinion/2784697/x/
97023,,1909,Economic Activity,83,1,3,1,527.98,470.48,https://www.courtlistener.com/opinion/97023/x/
145848,,2009,Civil Rights,6,31,3,1,519.12,448.71,https://www.courtlistener.com/opinion/145848/x/
111549,,1985,Due Process,14,21,4,1,658.61,431.77,https://www.courtlistener.com/opinion/111549/x/
111542,,1985,Criminal Procedure,29,20,1,1,691.9,337.76,https://www.courtlistener.com/opinion/111542/x/
111541,,1985,Criminal Procedure,10,10,5,1,629.95,389.44,https://www.courtlistener.com/opinion/111541/x/
111546,,1985,Criminal Procedure,15,14,1,1,823.07,356.45,https://www.courtlistener.com/opinion/111546/x/
111544,,1985,Economic Activity,13,12,6,1,429.82,595.11,https://www.courtlistener.com/opinion/111544/x/
107898,,1969,First Amendment,70,16,0,1,715.47,524.88,https://www.courtlistener.com/opinion/107898/x/
104272,,1946,Judicial Power,71,5,3,1,500.6,478.63,https://www.courtlistener.com/opinion/104272/x/
2620886,,1998,Judicial Power,43,46,2,1,523.02,463.44,https://www.courtlistener.com/opinion/2620886/x/
97150,,1910,Economic Activity,56,19,6,1,507.96,720.23,https://www.courtlistener.com/opinion/97150/x/
107701,,1968,First Amendment,107,14,0,1,671.27,580.7,https://www.courtlistener.com/opinion/107701/x/
112239,,1989,Criminal Procedure,11,14,7,1,883.16,496.77,https://www.courtlistener.com/opinion/112239/x/
811779,,2012,Privacy,0,11,8,1,288.44,524.8,https://www.courtlistener.com/opinion/811779/x/
108100,,1970,Civil Rights,93,13,4,1,658.56,497.74,https://www.courtlistener.com/opinion/108100/x/
109855,,1978,Due Process,21,21,4,1,657.75,487.99,https://www.courtlistener.com/opinion/109855/x/
109857,,1978,Civil Rights,23,16,8,1,425.92,593.39,https://www.courtlistener.com/opinion/109857/x/
109859,,1978,Economic Activity,25,7,3,1,469.52,511.7,https://www.courtlistener.com/opinion/109859/x/
109858,,1978,Due Process,12,5,5,1,596.86,641.1,https://www.courtlistener.com/opinion/109858/x/
103701,,1942,Civil Rights,71,3,4,1,686.35,559.5,https://www.courtlistener.com/opinion/103701/x/
111955,,1987,Attorneys,8,9,3,1,523.15,306.32,https://www.courtlistener.com/opinion/111955/x/
111957,,1987,Criminal Procedure,9,28,1,1,742.33,285.91,https://www.courtlistener.com/opinion/111957/x/
111950,,1987,First Amendment,10,29,0,1,607.39,569.91,https://www.courtlistener.com/opinion/111950/x/
111959,,1987,Criminal Procedure,14,16,7,1,773.78,464.35,https://www.courtlistener.com/opinion/111959/x/
111958,,1987,Due Process,14,20,6,1,561.94,617.29,https://www.courtlistener.com/opinion/111958/x/
145770,,2006,Criminal Procedure,10,14,1,1,730.68,272.96,https://www.courtlistener.com/opinion/145770/x/
145772,,2006,Civil Rights,4,8,3,1,399.86,263.21,https://www.courtlistener.com/opinion/145772/x/
145773,,2006,Criminal Procedure,3,15,1,1,734.91,206.43,https://www.courtlistener.com/opinion/145773/x/
145774,,2006,Judicial Power,4,5,4,1,646.88,709.27,https://www.courtlistener.com/opinion/145774/x/
145776,,2008,First Amendment,4,21,0,1,610.22,616.78,https://www.courtlistener.com/opinion/145776/x/
145778,,2008,Economic Activity,4,6,3,1,306.18,646.7,https://www.courtlistener.com/opinion/145778/x/
104710,,1949,Criminal Procedure,52,5,1,1,774.14,374.05,https://www.courtlistener.com/opinion/104710/x/
109271,,1975,First Amendment,35,22,0,1,682.74,597.11,https://www.courtlistener.com/opinion/109271/x/
109270,,1975,Criminal Procedure,10,0,0,1,765.69,496.17,https://www.courtlistener.com/opinion/109270/x/
109272,,1975,Economic Activity,13,2,3,1,271.45,506.74,https://www.courtlistener.com/opinion/109272/x/
145818,,2008,Economic Activity,0,17,6,1,587.92,716.57,https://www.courtlistener.com/opinion/145818/x/
217702,,2011,Economic Activity,0,3,9,1,249.79,497.64,https://www.courtlistener.com/opinion/217702/x/
1087669,,2000,Judicial Power,2,9,3,1,367.5,422.94,https://www.courtlistener.com/opinion/1087669/x/
1087668,,2000,Privacy,6,28,4,1,643.61,525.33,https://www.courtlistener.com/opinion/1087668/x/
1087667,,2000,Civil Rights,13,13,3,1,476.32,331.54,https://www.courtlistener.com/opinion/1087667/x/
1087666,,2000,Criminal Procedure,2,12,1,1,845.23,454.93,https://www.courtlistener.com/opinion/1087666/x/
1087665,,2000,Federalism,0,0,,0,0.0,1060,https://www.courtlistener.com/opinion/1087665/x/
1087664,,2000,Economic Activity,4,6,3,1,328.5,366.54,https://www.courtlistener.com/opinion/1087664/x/
108845,,1973,Criminal Procedure,50,11,7,1,808.86,487.49,https://www.courtlistener.com/opinion/108845/x/
142896,,2005,First Amendment,6,21,0,1,629.41,600.86,https://www.courtlistener.com/opinion/142896/x/
118307,,1999,Criminal Procedure,6,23,1,1,632.04,331.8,https://www.courtlistener.com/opinion/118307/x/
118303,,1999,First Amendment,6,17,0,1,677.94,704.65,https://www.courtlistener.com/opinion/118303/x/
118309,,1999,Criminal Procedure,5,34,1,1,625.37,327.31,https://www.courtlistener.com/opinion/118309/x/
118308,,1999,Attorneys,5,3,3,1,493.56,236.74,https://www.courtlistener.com/opinion/118308/x/
145683,,2006,Economic Activity,8,4,9,1,296.89,382.44,https://www.courtlistener.com/opinion/145683/x/
217512,,2011,Judicial Power,0,41,2,1,647.12,502.96,https://www.courtlistener.com/opinion/217512/x/
145889,,2009,Civil Rights,2,7,8,1,325.57,583.92,https://www.courtlistener.com/opinion/145889/x/
110518,,1981,Criminal Procedure,16,16,4,1,663.74,367.51,https://www.courtlistener.com/opinion/110518/x/
110510,,1981,Civil Rights,15,12,4,1,616.94,664.47,https://www.courtlistener.com/opinion/110510/x/
110516,,1981,Economic Activity,32,34,6,1,527.54,573.28,https://www.courtlistener.com/opinion/110516/x/
110517,,1981,Economic Activity,11,10,6,1,549.22,688.82,https://www.courtlistener.com/opinion/110517/x/
2784695,,2015,Unions,0,35,3,1,433.7,476.6,https://www.courtlistener.com/opinion/2784695/x/
145792,,2008,Civil Rights,5,12,3,1,333.28,357.08,https://www.courtlistener.com/opinion/145792/x/
106660,,1963,First Amendment,78,16,0,1,678.12,550.37,https://www.courtlistener.com/opinion/106660/x/
118214,,1998,Economic Activity,20,34,4,1,718.22,450.41,https://www.courtlistener.com/opinion/118214/x/
112009,,1988,Due Process,9,23,6,1,563.32,642.09,https://www.courtlistener.com/opinion/112009/x/
108316,,1971,Civil Rights,55,3,4,1,548.72,454.99,https://www.courtlistener.com/opinion/108316/x/
218455,,2011,Economic Activity,0,18,3,1,445.49,287.57,https://www.courtlistener.com/opinion/218455/x/
145695,,2006,Criminal Procedure,1,4,1,1,823.86,219.69,https://www.courtlistener.com/opinion/145695/x/
103933,,1944,Civil Rights,77,18,4,1,688.77,547.32,https://www.courtlistener.com/opinion/103933/x/
821432,,2013,Economic Activity,1,11,3,1,425.23,422.56,https://www.courtlistener.com/opinion/821432/x/
821431,,2013,Economic Activity,0,6,3,1,395.89,252.08,https://www.courtlistener.com/opinion/821431/x/
1728,,2010,Attorneys,3,19,3,1,542.54,482.66,https://www.courtlistener.com/opinion/1728/x/
1729,,2010,Criminal Procedure,4,5,3,1,428.36,242.6,https://www.courtlistener.com/opinion/1729/x/
1726,,2010,Economic Activity,6,18,3,1,386.81,328.27,https://www.courtlistener.com/opinion/1726/x/
1727,,2010,Economic Activity,2,13,3,1,513.33,308.25,https://www.courtlistener.com/opinion/1727/x/
1724,,2010,Economic Activity,1,5,3,1,369.38,631.24,https://www.courtlistener.com/opinion/1724/x/
1725,,2010,Criminal Procedure,0,2,4,1,874.9,587.33,https://www.courtlistener.com/opinion/1725/x/
1722,,2010,Judicial Power,2,20,3,1,417.87,355.66,https://www.courtlistener.com/opinion/1722/x/
