cl_opinion_id,case_name,year,issue_area,times_cited,cites_made,community,in_giant,x,y,courtlistener_url
96546,,1906,Economic Activity,9,2,0,1,499.42,514.64,https://www.courtlistener.com/opinion/96546/x/
110557,,1981,Economic Activity,8,18,1,1,367.39,351.0,https://www.courtlistener.com/opinion/110557/x/
106300,,1961,Criminal Procedure,37,7,2,1,275.52,309.51,https://www.courtlistener.com/opinion/106300/x/
89372,,1876,Economic Activity,3,2,3,1,667.17,561.91,https://www.courtlistener.com/opinion/89372/x/
89373,,1876,Economic Activity,12,0,1,1,500.43,581.15,https://www.courtlistener.com/opinion/89373/x/
89374,,1876,Economic Activity,1,0,4,1,666.17,198.37,https://www.courtlistener.com/opinion/89374/x/
89375,,1876,Due Process,21,1,5,1,452.29,466.23,https://www.courtlistener.com/opinion/89375/x/
89376,,1876,Economic Activity,4,1,6,1,404.11,607.33,https://www.courtlistener.com/opinion/89376/x/
89378,,1876,Criminal Procedure,34,7,6,1,366.81,618.1,https://www.courtlistener.com/opinion/89378/x/
89379,,1876,Judicial Power,20,1,6,1,299.01,643.13,https://www.courtlistener.com/opinion/89379/x/
96076,,1904,Civil Rights,14,11,5,1,359.14,483.82,https://www.courtlistener.com/opinion/96076/x/
106302,,1961,Civil Rights,15,13,2,1,339.16,301.78,https://www.courtlistener.com/opinion/106302/x/
91138,,1884,Civil Rights,2,2,7,1,586.78,548.31,https://www.courtlistener.com/opinion/91138/x/
106303,,1961,Due Process,7,8,8,1,500.13,447.96,https://www.courtlistener.com/opinion/106303/x/
106304,,1961,Economic Activity,6,26,9,1,311.35,487.68,https://www.courtlistener.com/opinion/106304/x/
110551,,1981,First Amendment,15,7,1,1,392.56,337.07,https://www.courtlistener.com/opinion/110551/x/
106305,,1961,Criminal Procedure,2,1,2,1,204.17,393.91,https://www.courtlistener.com/opinion/106305/x/
103549,,1941,Federalism,14,39,7,1,433.96,526.49,https://www.courtlistener.com/opinion/103549/x/
103548,,1941,Economic Activity,5,5,8,1,372.65,533.95,https://www.courtlistener.com/opinion/103548/x/
103541,,1941,Economic Activity,10,19,9,1,407.77,463.74,https://www.courtlistener.com/opinion/103541/x/
103540,,1941,Federal Taxation,2,8,0,1,375.72,593.86,https://www.courtlistener.com/opinion/103540/x/
103543,,1941,Economic Activity,16,15,7,1,464.97,533.39,https://www.courtlistener.com/opinion/103543/x/
103542,,1941,Judicial Power,38,8,7,1,408.71,526.74,https://www.courtlistener.com/opinion/103542/x/
103545,,1941,Economic Activity,35,9,8,1,477.77,452.19,https://www.courtlistener.com/opinion/103545/x/
103544,,1941,Federalism,20,17,3,1,467.0,479.37,https://www.courtlistener.com/opinion/103544/x/
103547,,1941,Economic Activity,1,5,10,1,347.82,608.77,https://www.courtlistener.com/opinion/103547/x/
103546,,1941,Federalism,9,3,8,1,547.87,375.3,https://www.courtlistener.com/opinion/103546/x/
97818,,1913,Economic Activity,9,3,7,1,449.32,602.1,https://www.courtlistener.com/opinion/97818/x/
102819,,1937,Economic Activity,4,18,4,1,557.61,391.99,https://www.courtlistener.com/opinion/102819/x/
96074,,1904,Civil Rights,0,0,,0,0.0,1060,https://www.courtlistener.com/opinion/96074/x/
88395,,1871,Private Action,3,0,11,1,399.02,626.33,https://www.courtlistener.com/opinion/88395/x/
88397,,1871,Private Action,7,0,12,1,353.0,585.6,https://www.courtlistener.com/opinion/88397/x/
88396,,1871,Private Action,3,0,11,1,489.44,761.39,https://www.courtlistener.com/opinion/88396/x/
88391,,1871,Private Action,4,0,6,1,578.28,685.4,https://www.courtlistener.com/opinion/88391/x/
88390,,1871,Private Action,10,0,6,1,416.35,601.52,https://www.courtlistener.com/opinion/88390/x/
88393,,1871,Private Action,0,0,,0,10.0,1060,https://www.courtlistener.com/opinion/88393/x/
88399,,1871,Private Action,0,0,,0,20.0,1060,https://www.courtlistener.com/opinion/88399/x/
88398,,1871,Federalism,6,0,7,1,538.96,655.52,https://www.courtlistener.com/opinion/88398/x/
97159,,1910,Economic Activity,3,1,7,1,407.6,723.57,https://www.courtlistener.com/opinion/97159/x/
97158,,1910,Economic Activity,5,12,8,1,451.5,468.76,https://www.courtlistener.com/opinion/97158/x/
102193,,1934,Federal Taxation,1,15,0,1,566.42,326.03,https://www.courtlistener.com/opinion/102193/x/
97153,,1910,Civil Rights,2,2,11,1,390.2,659.05,https://www.courtlistener.com/opinion/97153/x/
97152,,1910,Judicial Power,3,3,7,1,545.54,489.42,https://www.courtlistener.com/opinion/97152/x/
97151,,1910,Economic Activity,29,21,8,1,553.67,429.42,https://www.courtlistener.com/opinion/97151/x/
102192,,1934,Economic Activity,0,1,8,1,805.13,371.9,https://www.courtlistener.com/opinion/102192/x/
97157,,1910,Judicial Power,3,4,7,1,633.1,597.99,https://www.courtlistener.com/opinion/97157/x/
102812,,1937,Judicial Power,2,3,7,1,433.13,620.97,https://www.courtlistener.com/opinion/102812/x/
97155,,1910,Economic Activity,15,8,7,1,466.73,696.99,https://www.courtlistener.com/opinion/97155/x/
97154,,1910,Judicial Power,9,10,3,1,540.74,482.76,https://www.courtlistener.com/opinion/97154/x/
102813,,1937,Judicial Power,7,3,2,1,395.23,470.21,https://www.courtlistener.com/opinion/102813/x/
89377,,1876,Private Action,6,0,6,1,398.73,637.8,https://www.courtlistener.com/opinion/89377/x/
88023,,1869,Civil Rights,2,0,7,1,758.25,638.45,https://www.courtlistener.com/opinion/88023/x/
88022,,1869,Private Action,5,0,7,1,495.84,587.09,https://www.courtlistener.com/opinion/88022/x/
88021,,1869,Private Action,9,0,6,1,395.33,570.3,https://www.courtlistener.com/opinion/88021/x/
88027,,1869,Judicial Power,14,0,13,1,335.35,479.29,https://www.courtlistener.com/opinion/88027/x/
799973,,2005,Criminal Procedure,0,17,2,1,219.66,323.42,https://www.courtlistener.com/opinion/799973/x/
88024,,1869,Federalism,32,0,7,1,514.75,604.79,https://www.courtlistener.com/opinion/88024/x/
88029,,1869,Criminal Procedure,1,0,0,1,571.7,493.07,https://www.courtlistener.com/opinion/88029/x/
100016,,1922,Civil Rights,2,16,5,1,320.16,554.01,https://www.courtlistener.com/opinion/100016/x/
100017,,1922,Civil Rights,0,5,5,1,178.48,462.68,https://www.courtlistener.com/opinion/100017/x/
100014,,1922,Criminal Procedure,4,14,5,1,280.67,589.49,https://www.courtlistener.com/opinion/100014/x/
100015,,1922,Economic Activity,9,7,9,1,514.83,517.96,https://www.courtlistener.com/opinion/100015/x/
100012,,1922,Federal Taxation,1,7,8,1,577.05,486.81,https://www.courtlistener.com/opinion/100012/x/
100013,,1922,Federal Taxation,4,0,0,1,690.63,434.19,https://www.courtlistener.com/opinion/100013/x/
